time,amplitude
7.434869739478957573e-01,9.943502824718615241e-01
7.454909819639278235e-01,9.943502824874524970e-01
7.474949899799598896e-01,9.943502824859506983e-01
7.494989979959919557e-01,9.943502824857952671e-01
7.515030060120240218e-01,9.943502824858195810e-01
7.535070140280560880e-01,9.943502824862873180e-01
7.555110220440881541e-01,9.943502824843930554e-01
7.575150300601202202e-01,9.943502824887039404e-01
7.595190380761522864e-01,9.943502824972940690e-01
7.615230460921843525e-01,9.943502823304184446e-01
7.635270541082164186e-01,9.943502834498624265e-01
7.655310621242484848e-01,9.943502781848786443e-01
7.675350701402805509e-01,9.943502962404642265e-01
7.695390781563125060e-01,9.943502663084023974e-01
7.715430861723445721e-01,9.943500905447069105e-01
7.735470941883766383e-01,9.943521515887183693e-01
7.755511022044087044e-01,9.943398023676359720e-01
7.775551102204407705e-01,9.943935498738569745e-01
7.795591182364728366e-01,9.942287994616180180e-01
7.815631262525049028e-01,9.943644457387018631e-01
7.835671342685369689e-01,9.971005164595887482e-01
7.855711422845690350e-01,9.700677643255721794e-01
7.875751503006011012e-01,9.568987812171967366e-01
7.895791583166331673e-01,9.868284812773396864e-01
7.915831663326652334e-01,9.922648148152861669e-01
7.935871743486972996e-01,9.324971141404487796e-01
7.955911823647293657e-01,1.001423768767091715e+00
7.975951903807614318e-01,9.920931194456710234e-01
7.995991983967934980e-01,9.948630003846705705e-01
8.016032064128255641e-01,9.942660325612834304e-01
8.036072144288576302e-01,9.943569423133092888e-01
8.056112224448896963e-01,9.943516622537139638e-01
8.076152304609217625e-01,9.943495114864004947e-01
8.096192384769538286e-01,9.943505168855057974e-01
8.116232464929858947e-01,9.943501746079621562e-01
8.136272545090179609e-01,9.943504811202548144e-01
8.156312625250500270e-01,9.943500938885838636e-01
8.176352705410820931e-01,9.943472924037042304e-01
8.196392785571141593e-01,9.943779031459345497e-01
8.216432865731462254e-01,9.941984702418288355e-01
8.236472945891782915e-01,9.949663158039736555e-01
8.256513026052103577e-01,9.894280139549247455e-01
8.276553106212424238e-01,9.887004455279921888e-01
8.296593186372744899e-01,9.894911245905931851e-01
8.316633266533065560e-01,9.949689117258573301e-01
8.336673346693386222e-01,9.942009514083177679e-01
8.356713426853706883e-01,9.943768113546638254e-01
8.376753507014027544e-01,9.943475797216146939e-01
8.396793587174348206e-01,9.943500232259913085e-01
8.416833667334668867e-01,9.943508497689885761e-01
8.436873747494989528e-01,9.943477718494737605e-01
8.456913827655310190e-01,9.943617108449985809e-01
8.476953907815630851e-01,9.943114847406914203e-01
8.496993987975951512e-01,9.944130162424049679e-01
8.517034068136272174e-01,9.947461026828388064e-01
8.537074148296592835e-01,9.894576275999680259e-01
8.557114228456913496e-01,9.815552272009133716e-01
8.577154308617234157e-01,9.829644991978505608e-01
8.597194388777554819e-01,9.788752850578715803e-01
8.617234468937875480e-01,9.902213721319337303e-01
8.637274549098196141e-01,9.243368149974641179e-01
8.657314629258516803e-01,1.004043505292174343e+00
8.677354709418837464e-01,9.918473201660057414e-01
8.697394789579158125e-01,9.948689076611183513e-01
8.717434869739478787e-01,9.941777568997064440e-01
8.737474949899798338e-01,9.942888934938394208e-01
8.757515030060118999e-01,9.882885394533145185e-01
8.777555110220439660e-01,9.884186260302657567e-01
8.797595190380760322e-01,9.917479144452244766e-01
8.817635270541080983e-01,9.947068133305442261e-01
8.837675350701401644e-01,9.943161660213193365e-01
8.857715430861722306e-01,9.943463770045819494e-01
8.877755511022042967e-01,9.943530917243509348e-01
8.897795591182363628e-01,9.943494291228313076e-01
8.917835671342684289e-01,9.943504700281085018e-01
8.937875751503004951e-01,9.943502528496289683e-01
8.957915831663325612e-01,9.943502847902561115e-01
8.977955911823646273e-01,9.943502863547177828e-01
8.997995991983966935e-01,9.943502473397499708e-01
9.018036072144287596e-01,9.943504845449714358e-01
9.038076152304608257e-01,9.943494255782980851e-01
9.058116232464928919e-01,9.943528101258433116e-01
9.078156312625249580e-01,9.943489234815509059e-01
9.098196392785570241e-01,9.943016583235630979e-01
9.118236472945890903e-01,9.947599102934447934e-01
9.138276553106211564e-01,9.914644343665585113e-01
9.158316633266532225e-01,9.884661375126584382e-01
9.178356713426852886e-01,9.883429220716783981e-01
9.198396793587173548e-01,9.944411461083814130e-01
9.218436873747494209e-01,9.942165310865856975e-01
9.238476953907814870e-01,9.943948491303326032e-01
9.258517034068135532e-01,9.943398835696513061e-01
9.278557114228456193e-01,9.943520535593421972e-01
9.298597194388776854e-01,9.943501238929518538e-01
9.318637274549097516e-01,9.943502595318116644e-01
9.338677354709418177e-01,9.943502972521131023e-01
9.358717434869738838e-01,9.943502781010380431e-01
9.378757515030059499e-01,9.943502834388711076e-01
9.398797595190380161e-01,9.943502823216049391e-01
9.418837675350700822e-01,9.943502825194558969e-01
9.438877755511021483e-01,9.943502827467032290e-01
9.458917835671342145e-01,9.943502798904793050e-01
9.478957915831662806e-01,9.943502972092338466e-01
9.498997995991983467e-01,9.943502210748251802e-01
9.519038076152304129e-01,9.943504582384811163e-01
9.539078156312624790e-01,9.943502328341775609e-01
9.559118236472945451e-01,9.943465380478507809e-01
9.579158316633266113e-01,9.943805673064004536e-01
9.599198396793586774e-01,9.941930195162533845e-01
9.619238476953907435e-01,9.949552409799805597e-01
9.639278557114228096e-01,9.892759877419280423e-01
9.659318637274548758e-01,9.886963985953364231e-01
9.679358717434869419e-01,9.896541632246500519e-01
9.699398797595190080e-01,9.949716917206123945e-01
9.719438877755510742e-01,9.942048233599873885e-01
9.739478957915831403e-01,9.943846468958055240e-01
9.759519038076150954e-01,9.943286227167460467e-01
9.779559118236471615e-01,9.942629804016186457e-01
9.799599198396792277e-01,9.954902938231920961e-01
9.819639278557112938e-01,9.859931975503948287e-01
9.839679358717433599e-01,9.840808340386481001e-01
9.859719438877754261e-01,9.807224443119484381e-01
9.879759519038074922e-01,9.718307710682465572e-01
9.899799599198395583e-01,9.722160723181523245e-01
9.919839679358716245e-01,9.792175378076363179e-01
9.939879759519036906e-01,9.857515261867654255e-01
9.959919839679357567e-01,9.922384561951702597e-01
9.979959919839678228e-01,9.994233977235764677e-01
1.000000000000000000e+00,9.943502824858757583e-01
